[4, 5, 23, 32, 34, 37]
[4, 12, 13, 30, 35, 38]
[5, 7, 9, 19, 22, 45]
[6, 7, 10, 20, 21, 45]
[1, 2, 17, 29, 30, 34]
[4, 10, 19, 24, 27, 28]
[1, 2, 9, 14, 27, 45]
[5, 7, 13, 16, 41, 44]
[2, 10, 20, 28, 37, 40]
[3, 8, 17, 32, 36, 41]
[6, 7, 9, 10, 15, 27]
[1, 12, 13, 22, 33, 43]
[18, 26, 30, 40, 42, 44]
[8, 26, 28, 31, 34, 37]
[4, 7, 19, 25, 31, 41]
[4, 8, 15, 20, 36, 42]
[15, 17, 18, 19, 21, 39]
[9, 12, 21, 26, 28, 41]
[15, 21, 26, 28, 35, 37]
[6, 11, 25, 26, 29, 32]
[2, 11, 22, 28, 37, 40]
[1, 2, 9, 15, 25, 36]
[2, 8, 11, 12, 17, 18]
[2, 14, 15, 25, 32, 38]
[1, 10, 11, 12, 19, 30]
[7, 14, 29, 40, 41, 45]
[2, 6, 13, 21, 42, 44]
[1, 6, 12, 22, 34, 38]
[8, 15, 30, 37, 38, 43]
[6, 15, 21, 26, 28, 41]
[16, 22, 30, 33, 37, 40]
[4, 10, 18, 21, 43, 44]
[8, 28, 31, 37, 42, 45]
[10, 21, 23, 31, 39, 44]
[3, 7, 18, 37, 38, 42]
[12, 13, 27, 30, 37, 38]
[14, 15, 27, 30, 33, 45]
[1, 4, 17, 23, 24, 42]
[7, 20, 40, 43, 44, 45]
[4, 26, 27, 30, 31, 37]
[9, 11, 22, 31, 39, 44]
[3, 5, 12, 13, 18, 43]
[2, 11, 27, 33, 38, 39]
[7, 10, 13, 18, 31, 34]
[5, 8, 10, 11, 25, 34]
[14, 28, 29, 31, 37, 40]
[8, 18, 21, 23, 31, 33]
[4, 5, 15, 32, 41, 43]
[1, 5, 16, 17, 21, 40]
[5, 9, 17, 27, 42, 44]
[7, 9, 12, 31, 34, 36]
[4, 9, 11, 31, 32, 44]
[5, 6, 9, 12, 13, 24]
[11, 16, 23, 28, 31, 36]
[6, 9, 11, 17, 44, 45]
[8, 16, 21, 33, 35, 37]
[18, 23, 26, 34, 40, 41]
[3, 9, 15, 19, 21, 41]
[2, 7, 17, 19, 21, 38]
[2, 16, 31, 33, 44, 45]
[1, 6, 15, 24, 43, 44]
[11, 13, 18, 21, 33, 42]
[21, 23, 24, 32, 34, 45]
[4, 10, 11, 18, 23, 29]
[7, 14, 20, 37, 40, 41]
[23, 30, 35, 37, 42, 45]
[12, 13, 17, 30, 34, 42]
[5, 11, 12, 13, 26, 34]
[9, 12, 19, 32, 34, 41]
[4, 7, 28, 35, 41, 45]
[19, 20, 21, 33, 34, 41]
[5, 19, 21, 27, 37, 45]
[10, 19, 27, 33, 39, 40]
[2, 5, 11, 13, 35, 37]
[10, 11, 21, 34, 41, 44]
[1, 8, 23, 31, 37, 41]
[9, 12, 13, 25, 35, 39]
[7, 19, 29, 32, 34, 37]
[2, 4, 20, 26, 35, 40]
[3, 6, 11, 36, 42, 44]
[24, 26, 27, 29, 33, 35]
[4, 6, 10, 31, 32, 43]
[7, 17, 18, 20, 24, 28]
[15, 21, 22, 25, 32, 38]
[2, 4, 19, 22, 32, 43]
[6, 21, 38, 39, 41, 44]
[7, 16, 17, 33, 41, 43]
[9, 10, 20, 30, 36, 38]
[1, 23, 24, 27, 31, 35]
[9, 10, 30, 32, 35, 43]
[3, 10, 21, 26, 27, 37]
[2, 3, 15, 18, 26, 34]
[20, 29, 36, 37, 40, 43]
[11, 16, 19, 26, 29, 40]
[3, 17, 25, 28, 36, 38]
[2, 4, 5, 11, 22, 43]
[3, 5, 10, 12, 20, 23]
[8, 9, 23, 29, 40, 42]
[19, 20, 26, 32, 37, 44]
[7, 14, 20, 26, 27, 43]
